Article,Model,MaskIndex,GroundTruth,Top1,Top5,Top10,Hit@1,Hit@5,Hit@10,MRR
1113,GreekBERT,1,πράγματος,ακινητου,"ακινητου, αλλου, αγαθου, συνολου, ενος","ακινητου, αλλου, αγαθου, συνολου, ενος, προσωπου, κινητου, οικοπεδου, δεν, στοιχειου",0,0,0,0.0
1113,GreekBERT,2,κυρίους,εξ,"εξ, του, κατοχους, λογους, μεχρι","εξ, του, κατοχους, λογους, μεχρι, της, εως, και, ιδιοκτητες, επι",0,0,0,0.0
1113,GreekBERT,3,μέρη,μερη,"μερη, αιτια, ς, προσωπα, πραγματα","μερη, αιτια, ς, προσωπα, πραγματα, στοιχεια, ορους, δικαιωματα, μελη, ποσοστα",1,1,1,1.0
1113,mBERT,1,πράγματος,πληθυσμού,"πληθυσμού, ,, ενός, πολέμου, σώμα","πληθυσμού, ,, ενός, πολέμου, σώμα, ., κόσμο, αυτού, του, είναι",0,0,0,0.0
1113,mBERT,2,κυρίους,άτομα,"άτομα, με, του, από, και","άτομα, με, του, από, και, μήνες, το, ,, ή, τους",0,0,0,0.0
1113,mBERT,3,μέρη,άτομα,"άτομα, ,, (, ), προβλήματα","άτομα, ,, (, ), προβλήματα, παιδιά, στοιχεία, χρόνια, ζωής, ηλικία",0,0,0,0.0
1114,GreekBERT,1,βάρος,ακινητο,"ακινητο, αυτο, κοινο, ολοκληρο, ακινητα","ακινητο, αυτο, κοινο, ολοκληρο, ακινητα, οικοπεδο, αλλο, διαμερισμα, οικοδομη, προσωπο",0,0,0,0.0
1114,GreekBERT,2,ακίνητο,ακινητο,"ακινητο, διαμερισμα, θιο, δεν, σπιτι","ακινητο, διαμερισμα, θιο, δεν, σπιτι, συμβολαιο, οικοπεδο, αυτο, προσωπο, ακινητου",1,1,1,1.0
1114,GreekBERT,3,εκάστοτε,εκαστοτε,"εκαστοτε, καθε, ενος, οποιουδηποτε, συγκεκριμενου","εκαστοτε, καθε, ενος, οποιουδηποτε, συγκεκριμενου, ιδιου, καθενος, τοτε, τριτου, σημερινου",1,1,1,1.0
1114,GreekBERT,4,συγκύριος,κυριος,"κυριος, ιδιοκτητης, κυριου, κατοχος, κυριοι","κυριος, ιδιοκτητης, κυριου, κατοχος, κυριοι, κυρια, κυριο, διαχειριστης, κατοικος, μονο",0,0,0,0.0
1114,GreekBERT,5,πραγματική,πραγματικη,"πραγματικη, εικονικη, πρακτικη, αληθινη, ψευτικη","πραγματικη, εικονικη, πρακτικη, αληθινη, ψευτικη, υποτιθεμενη, κανονικη, ατομικη, παρανομη, αλλη",1,1,1,1.0
1114,GreekBERT,6,κάποιος,καθενας,"καθενας, ενας, καποιος, κανεις, οποιοσδηποτε","καθενας, ενας, καποιος, κανεις, οποιοσδηποτε, ουδεις, καθενα, αυτος, ακομη, και",0,1,1,0.3333
1114,GreekBERT,7,ακινήτου,ακινητου,"ακινητου, κτιριου, οικοπεδου, ακινητων, χωρου","ακινητου, κτιριου, οικοπεδου, ακινητων, χωρου, σπιτιου, εδαφους, στοιχειου, οχηματος, συμβολαιου",1,1,1,1.0
1114,mBERT,1,βάρος,όλα,"όλα, αυτή, αν, αυτό, όλη","όλα, αυτή, αν, αυτό, όλη, είναι, περίπτωση, σχέση, χρήση, αυτήν",0,0,0,0.0
1114,mBERT,2,ακίνητο,",",",, δεν, αυτό, σύστημα, χώρο",",, δεν, αυτό, σύστημα, χώρο, μόνο, δε, όμως, παράδειγμα, τότε",0,0,0,0.0
1114,mBERT,3,εκάστοτε,ενός,"ενός, κάθε, του, μη, ένα","ενός, κάθε, του, μη, ένα, ένας, έναν, [, ή, είτε",0,0,0,0.0
1114,mBERT,4,συγκύριος,μέρος,"μέρος, μέλος, τμήμα, πρώτος, μεταξύ","μέρος, μέλος, τμήμα, πρώτος, μεταξύ, εκτός, μόνο, αυτός, ένας, συνέχεια",0,0,0,0.0
1114,mBERT,5,πραγματική,πρώτη,"πρώτη, μη, άλλη, ίδια, πολιτική","πρώτη, μη, άλλη, ίδια, πολιτική, χρήση, ελληνική, τη, την, τική",0,0,0,0.0
1114,mBERT,6,κάποιος,ένας,"ένας, ένα, αν, ακόμη, έναν","ένας, ένα, αν, ακόμη, έναν, και, δύο, κάθε, μία, μόνο",0,0,0,0.0
1114,mBERT,7,ακινήτου,άλλο,"άλλο, αυτού, ,, μέρος, του","άλλο, αυτού, ,, μέρος, του, αυτό, ίδιο, α, οποίου, τρόπο",0,0,0,0.0
